recency,history_segment,history,mens,womens,zip_code,newbie,channel,visit,conversion,spend,treatment
6,1) $0 - $100,29.99,1,0,Surburban,0,Phone,0,0,0.0,1
2,3) $200 - $350,218.37,0,1,Urban,0,Phone,0,0,0.0,1
2,3) $200 - $350,297.24,1,0,Urban,0,Phone,1,0,0.0,1
1,4) $350 - $500,368.91,0,1,Surburban,0,Web,0,0,0.0,1
1,1) $0 - $100,74.14,1,0,Urban,0,Phone,0,0,0.0,0
5,3) $200 - $350,265.6,0,1,Surburban,0,Web,0,0,0.0,0
10,1) $0 - $100,96.04,1,0,Surburban,0,Web,0,0,0.0,0
2,2) $100 - $200,148.92,0,1,Urban,1,Phone,0,0,0.0,0
4,1) $0 - $100,30.01,1,0,Surburban,1,Phone,0,0,0.0,0
4,1) $0 - $100,57.36,1,0,Urban,1,Phone,0,0,0.0,1
7,1) $0 - $100,29.99,0,1,Surburban,1,Web,0,0,0.0,0
8,2) $100 - $200,111.72,1,0,Surburban,1,Web,1,0,0.0,1
11,1) $0 - $100,29.99,1,0,Surburban,1,Web,0,0,0.0,0
4,4) $350 - $500,482.02,1,0,Surburban,0,Web,0,0,0.0,1
6,2) $100 - $200,186.96,1,0,Urban,0,Phone,0,0,0.0,1
5,"7) $1,000 +",1667.27,1,1,Surburban,1,Multichannel,0,0,0.0,1
4,2) $100 - $200,154.89,1,0,Surburban,0,Web,0,0,0.0,1
4,3) $200 - $350,275.65,1,0,Urban,1,Multichannel,0,0,0.0,1
1,"6) $750 - $1,000",841.18,1,1,Surburban,1,Multichannel,0,0,0.0,1
1,4) $350 - $500,416.41,1,0,Rural,0,Multichannel,0,0,0.0,1
3,"7) $1,000 +",1334.99,0,1,Rural,1,Web,0,0,0.0,0
1,1) $0 - $100,78.52,1,0,Urban,1,Web,0,0,0.0,0
2,1) $0 - $100,29.99,0,1,Urban,1,Web,0,0,0.0,0
1,"6) $750 - $1,000",963.27,0,1,Surburban,1,Multichannel,0,0,0.0,0
9,1) $0 - $100,85.97,1,0,Surburban,1,Web,0,0,0.0,0
5,1) $0 - $100,92.18,1,0,Urban,1,Web,0,0,0.0,0
11,5) $500 - $750,562.47,1,0,Urban,1,Web,0,0,0.0,1
10,4) $350 - $500,375.95,0,1,Surburban,0,Web,0,0,0.0,1
3,1) $0 - $100,29.99,0,1,Urban,1,Phone,0,0,0.0,0
3,4) $350 - $500,415.97,1,0,Rural,0,Multichannel,0,0,0.0,1
11,2) $100 - $200,124.95,0,1,Rural,1,Phone,0,0,0.0,1
7,5) $500 - $750,647.67,1,1,Surburban,1,Multichannel,0,0,0.0,1
4,2) $100 - $200,138.42,1,0,Surburban,1,Phone,0,0,0.0,1
1,2) $100 - $200,133.68,0,1,Surburban,0,Web,0,0,0.0,1
