recency,history_segment,history,mens,womens,zip_code,newbie,channel,visit,conversion,spend,treatment
1,1) $0 - $100,74.14,1,0,Urban,0,Phone,0,0,0.0,0
5,3) $200 - $350,265.6,0,1,Surburban,0,Web,0,0,0.0,0
10,1) $0 - $100,96.04,1,0,Surburban,0,Web,0,0,0.0,0
2,2) $100 - $200,148.92,0,1,Urban,1,Phone,0,0,0.0,0
4,1) $0 - $100,30.01,1,0,Surburban,1,Phone,0,0,0.0,0
7,1) $0 - $100,29.99,0,1,Surburban,1,Web,0,0,0.0,0
11,1) $0 - $100,29.99,1,0,Surburban,1,Web,0,0,0.0,0
7,1) $0 - $100,29.99,0,1,Surburban,0,Web,0,0,0.0,1
9,2) $100 - $200,151.37,1,0,Urban,1,Phone,0,0,0.0,1
11,1) $0 - $100,68.42,0,1,Surburban,1,Web,0,0,0.0,1
1,1) $0 - $100,84.76,0,1,Surburban,0,Web,1,0,0.0,1
6,2) $100 - $200,110.02,1,0,Surburban,0,Phone,0,0,0.0,1
4,2) $100 - $200,115.61,0,1,Urban,0,Web,0,0,0.0,1
3,"7) $1,000 +",1334.99,0,1,Rural,1,Web,0,0,0.0,0
6,2) $100 - $200,122.42,0,1,Surburban,1,Web,0,0,0.0,1
1,1) $0 - $100,78.52,1,0,Urban,1,Web,0,0,0.0,0
2,1) $0 - $100,29.99,0,1,Urban,1,Web,0,0,0.0,0
9,1) $0 - $100,90.86,1,0,Urban,0,Web,0,0,0.0,1
1,"6) $750 - $1,000",963.27,0,1,Surburban,1,Multichannel,0,0,0.0,0
7,1) $0 - $100,29.99,0,1,Surburban,0,Web,0,0,0.0,1
10,2) $100 - $200,120.36,1,0,Urban,0,Web,0,0,0.0,1
9,1) $0 - $100,85.97,1,0,Surburban,1,Web,0,0,0.0,0
5,1) $0 - $100,92.18,1,0,Urban,1,Web,0,0,0.0,0
8,1) $0 - $100,29.99,1,0,Surburban,1,Phone,0,0,0.0,1
3,1) $0 - $100,29.99,0,1,Urban,1,Phone,0,0,0.0,0
11,2) $100 - $200,142.6,1,0,Surburban,1,Web,0,0,0.0,1
10,1) $0 - $100,29.99,0,1,Rural,0,Web,0,0,0.0,1
