variant,epsilon,rep,rho,qini,auuc,degenerate
size_100,0.2,0,0.2775143206832421,17.702040104784373,0.054731480495088136,0
size_100,0.2,1,0.5035457435057319,54.12203105224444,0.06034255102822389,0
size_100,0.2,2,0.21078962065863519,43.17433018631198,0.05960353136831305,0
size_100,0.2,3,0.1252598816184766,-0.006979367557278238,0.050100579182418004,0
size_100,0.2,4,0.3016110103745666,34.85683775550183,0.057706428093748145,0
size_100,0.2,5,0.054923661809004175,21.46260589634619,0.05325936818509856,0
size_100,0.2,6,-0.24377299663207147,-42.2321718512913,0.048654234829269505,0
size_100,0.2,7,0.16950115205524974,12.514906593892078,0.054160107702970514,0
size_100,0.2,8,0.12300425297111388,10.883047907323316,0.05285954184430966,0
size_100,0.2,9,0.12752670296614171,25.04480381863982,0.05344948988406177,0
size_100,0.3,0,0.34212928350738475,49.0378807363046,0.06212713633204499,0
size_100,0.3,1,0.2575784543125577,-2.339589070973261,0.05119344849988477,0
size_100,0.3,2,0.16642407292057176,20.01763290934423,0.05440739115903259,0
size_100,0.3,3,0.4214534677664684,4.096851232685481,0.050769903976664824,0
size_100,0.3,4,0.3740458649519466,10.371208858043246,0.051302867803566105,0
size_100,0.3,5,0.13455757669961174,5.312893459110114,0.05428142085954339,0
size_100,0.3,6,-0.14149234031866062,-39.37965555007463,0.04688064557451355,0
size_100,0.3,7,0.3416159326811759,0.8909950680074417,0.05174835716949781,0
size_100,0.3,8,0.20562508625747897,49.25688653602788,0.06050322051221981,0
size_100,0.3,9,0.17837009495243686,10.698019620090463,0.05352447958364261,0
size_100,0.4,0,0.36340372465360926,39.666241139963404,0.0632129705647243,0
size_100,0.4,1,0.1651933833140405,5.8859708301836235,0.053159898986466315,0
size_100,0.4,2,0.3574120132276436,7.544489950351817,0.052380024706400095,0
size_100,0.4,3,0.41546057269065906,3.877901718184603,0.05150134255910156,0
size_100,0.4,4,0.3663473846338634,0.2410883685807903,0.050641597621103734,0
size_100,0.4,5,0.40047429444716565,14.142018560052179,0.05258580192465969,0
size_100,0.4,6,0.3661653819417254,12.135863145609164,0.05331361022009284,0
size_100,0.4,7,0.33765678179489567,-3.640002845530603,0.05149927628722089,0
size_100,0.4,8,0.3906787782999535,37.358096746479646,0.05945573713216453,0
size_100,0.4,9,0.3797289052183181,10.783272970038297,0.05293266999741464,0
