variant,epsilon,rho_mean,rho_sd,qini_mean,qini_sd,auuc_mean,auuc_sd,n_reps,n_degenerate,epsilon_label
size_100,0.1,0.123172803614446,0.1876209492235226,-0.9516986801896508,14.700976769034504,0.0515652560523487,0.0021700752478267,10,2,0.1
size_100,0.2,0.16499033500100904,0.19206814199629077,17.752145209619545,26.49255127175463,0.05448673126135012,0.0037931470544474446,10,0,0.2
size_100,0.3,0.22803074937309722,0.1624718857524976,10.796312379856555,25.58233348744216,0.05367388714706105,0.0045836652920312766,10,0,0.3
size_100,0.4,0.3542521220221874,0.07012647408504541,12.799494058391293,14.583980113851174,0.05406829299993486,0.00401820025636179,10,0,0.4
size_100,0.5,0.3713005090426275,0.0238709739578943,6.979215587254259,6.331244682911927,0.0522464521475367,0.0009028895007381,10,0,0.5
size_100,1.0,0.3761211221034191,0.020246367281488,9.948326726334324,3.8813730675119618,0.052591521842084,0.0005348318486897,10,0,1
size_100,2.0,0.3814157279707572,0.0116958885942011,9.657375279374127,2.738392063865475,0.0524275306481674,0.0003772550780985,10,0,2
size_100,5.0,0.3832549048613822,0.0056649521253044,11.091190659154757,1.277985459057852,0.0525873165549008,0.0002375273724872,10,0,5
size_100,10.0,0.3848722102812882,0.0032288449244211,11.283402816919113,1.0843385261958165,0.0526078045915722,0.0002030902339419,10,0,10
size_100,inf,0.383901442421474,0.0021717852462438,10.97381158052824,1.6892639011746762,0.052489275800352,0.0003774309363242,10,0,∞
