Treatment comparison,ε,rho_mean,rho_sd,qini_mean,qini_sd,Degenerate runs
Men's E-Mail vs control,0.1,0.1011,0.0948,14.52,33.5219321241084,3/10
Men's E-Mail vs control,0.5,0.2352,0.1784,-9.632000000000039,16.120505781974305,0/10
Men's E-Mail vs control,1.0,0.2055,0.1672,-6.2220000000000315,21.84239954258179,0/10
Men's E-Mail vs control,2.0,0.1305,0.1228,15.305999999999944,7.938848503124058,0/10
Men's E-Mail vs control,5.0,0.0653,0.0095,18.007999999999935,2.3250988031574877,0/10
Men's E-Mail vs control,10.0,0.0637,0.0064,17.123999999999956,2.4147886956096904,0/10
Men's E-Mail vs control,∞,0.0621,0.0074,17.681999999999952,2.8692112737359117,0/10
Women's E-Mail vs control,0.1,0.0985,0.142,54.93163822452622,33.710748225920554,9/10
Women's E-Mail vs control,0.5,-0.1833,0.2373,-39.6958845408382,17.898686605027745,0/10
Women's E-Mail vs control,1.0,-0.2135,0.0154,-1.9518969222751537,3.5239429452192303,0/10
Women's E-Mail vs control,2.0,-0.1972,0.0156,-0.541593406970776,2.6660522418911796,0/10
Women's E-Mail vs control,5.0,-0.192,0.0106,-0.2392413147357729,2.3892562458527795,0/10
Women's E-Mail vs control,10.0,-0.192,0.0191,-0.5979608753461434,2.134976947563596,0/10
Women's E-Mail vs control,∞,-0.1927,0.0096,-0.20377585604208548,2.5981185165116387,0/10
