Variant,ε,N,Mean ρ,SD ρ,Mean Qini,SD Qini,Degenerate runs
size_60,0.1,26880,0.3234,0.1746,-11.74,17.13,8/10
size_60,0.5,26880,0.0936,0.2949,-2.14,27.89,0/10
size_60,1.0,26880,0.241,0.1781,20.0,18.13,0/10
size_60,2.0,26880,0.2756,0.0237,30.68,8.63,0/10
size_60,5.0,26880,0.2669,0.0138,33.23,5.25,0/10
size_60,10.0,26880,0.2682,0.0105,34.85,4.14,0/10
size_60,∞,26880,0.2639,0.0102,33.25,4.99,0/10
size_70,0.1,31359,0.2103,0.2309,-10.22,22.63,6/10
size_70,0.5,31359,0.3086,0.0493,19.68,11.76,0/10
size_70,1.0,31359,0.3257,0.0489,21.96,10.58,0/10
size_70,2.0,31359,0.2867,0.0396,28.16,7.51,0/10
size_70,5.0,31359,0.275,0.0159,31.55,4.23,0/10
size_70,10.0,31359,0.271,0.0114,33.87,5.68,0/10
size_70,∞,31359,0.2714,0.0082,32.56,3.76,0/10
