Variant,ε,Mean ρ,SD ρ,Mean Qini,SD Qini,Degenerate runs
Baseline (50% newbie),0.1,0.1232,0.1876,-0.95,14.7,2/10
Baseline (50% newbie),0.5,0.3713,0.0239,6.98,6.33,0/10
Baseline (50% newbie),1.0,0.3761,0.0202,9.95,3.88,0/10
Baseline (50% newbie),2.0,0.3814,0.0117,9.66,2.74,0/10
Baseline (50% newbie),5.0,0.3833,0.0057,11.09,1.28,0/10
Baseline (50% newbie),10.0,0.3849,0.0032,11.28,1.08,0/10
Baseline (50% newbie),∞,0.3839,0.0022,10.97,1.69,0/10
20% newbie,0.1,0.114,0.1364,-9.42,17.44,3/10
20% newbie,0.5,0.2439,0.1769,19.7,22.69,0/10
20% newbie,1.0,0.3346,0.1737,31.28,21.45,0/10
20% newbie,2.0,0.4003,0.1217,40.68,17.67,0/10
20% newbie,5.0,0.4246,0.0386,41.28,5.71,0/10
20% newbie,10.0,0.4169,0.0276,40.19,4.71,0/10
20% newbie,∞,0.4214,0.0348,40.98,4.92,0/10
5% newbie,0.1,0.1909,0.1007,0.55,20.4,3/10
5% newbie,0.5,0.1667,0.0274,14.68,6.19,0/10
5% newbie,1.0,0.1722,0.0231,10.09,2.97,0/10
5% newbie,2.0,0.1798,0.0194,7.67,1.53,0/10
5% newbie,5.0,0.1747,0.0211,7.03,2.99,0/10
5% newbie,10.0,0.1882,0.0183,6.53,2.16,0/10
5% newbie,∞,0.1789,0.0196,6.62,2.24,0/10
