variant,epsilon,N_mean,N_std,conversion_mean,conversion_std,visit_mean,visit_std
size_25,0.1,11169.6,85.187636,0.018084,0.012711,0.145724,0.012427
size_25,0.5,11192.8,19.976653,0.009103,0.002025,0.146628,0.002163
size_25,1.0,11196.4,8.514041,0.008941,0.001221,0.147503,0.000915
size_25,2.0,11198.2,4.589844,0.008975,0.000555,0.147792,0.000386
size_25,5.0,11198.6,2.319004,0.008858,0.000282,0.147786,0.000237
size_25,10.0,11199.1,1.197219,0.008903,0.000169,0.147842,0.000132
size_25,inf,11199.4,0.516398,0.009,0.000144,0.147928,7.5e-05
size_50,0.1,22378.0,75.690892,0.012809,0.005103,0.148147,0.006474
size_50,0.5,22395.6,15.471838,0.008716,0.001009,0.147944,0.000758
size_50,1.0,22397.6,7.834397,0.00868,0.000676,0.148127,0.000281
size_50,2.0,22398.6,4.903513,0.00892,0.000303,0.148277,0.000243
size_50,5.0,22398.8,2.573368,0.008925,0.000137,0.148347,7.3e-05
size_50,10.0,22399.1,1.449138,0.00896,6.7e-05,0.148368,6.8e-05
size_50,inf,22399.4,0.516398,0.009031,3e-05,0.148428,3.8e-05
size_75,0.1,33573.5,84.096836,0.010632,0.003392,0.145801,0.003406
size_75,0.5,33596.0,18.696405,0.008772,0.000553,0.146172,0.000416
size_75,1.0,33597.0,9.380832,0.008983,0.000373,0.146192,0.00022
size_75,2.0,33597.8,4.732864,0.008914,0.000202,0.146209,8.3e-05
size_75,5.0,33598.5,2.368778,0.008968,8.9e-05,0.146262,4.9e-05
size_75,10.0,33598.9,1.286684,0.008997,5.6e-05,0.146285,2.1e-05
size_75,inf,33599.3,0.483046,0.009006,2.1e-05,0.146307,1.2e-05
size_100,0.1,44774.2,78.126393,0.009822,0.002686,0.145869,0.002394
size_100,0.5,44794.1,18.423717,0.008849,0.00041,0.146883,0.000367
size_100,1.0,44796.7,8.577101,0.008871,0.000271,0.146872,0.000125
size_100,2.0,44797.3,5.250397,0.008925,0.000155,0.146931,6.8e-05
size_100,5.0,44798.5,2.368778,0.008982,6.5e-05,0.146978,2.7e-05
size_100,10.0,44798.9,1.286684,0.008996,3e-05,0.146988,2.6e-05
size_100,inf,44799.3,0.483046,0.009009,1.6e-05,0.147002,1.1e-05
imbalance_20,0.1,44762.9,100.378672,0.010304,0.00241,0.161633,0.003105
imbalance_20,0.5,44793.3,15.261062,0.00968,0.000515,0.161785,0.000381
imbalance_20,1.0,44796.9,8.332667,0.009639,0.000315,0.161882,0.000189
imbalance_20,2.0,44797.6,5.037636,0.009701,0.000173,0.161944,0.000107
imbalance_20,5.0,44798.8,2.20101,0.009703,7.8e-05,0.162011,5.4e-05
imbalance_20,10.0,44799.1,1.286684,0.009719,5.5e-05,0.162026,3.4e-05
imbalance_20,inf,44799.3,0.483046,0.009728,1.4e-05,0.162038,2.3e-05
imbalance_05,0.1,44772.5,95.813766,0.0108,0.002348,0.168197,0.00289
imbalance_05,0.5,44795.1,19.439079,0.009802,0.000598,0.169978,0.000301
imbalance_05,1.0,44798.3,9.741663,0.009764,0.000328,0.170042,0.000189
imbalance_05,2.0,44797.9,5.466057,0.009804,0.000172,0.170144,0.000105
imbalance_05,5.0,44798.8,2.20101,0.009813,7.8e-05,0.17021,3.1e-05
imbalance_05,10.0,44799.1,1.286684,0.009833,4.2e-05,0.17022,2.8e-05
imbalance_05,inf,44799.3,0.483046,0.009837,1.8e-05,0.170239,2.3e-05
