variant,epsilon,rep,spearman_rho,spearman_p,qini_coef,auuc,n_synth,treat_ratio_synth,conv_rate_synth,is_degenerate
size_25,0.1,0,0.18600852179513394,5.000895447913952e-149,-17.436430141049186,0.05683339977233956,11176,0.6539906943450251,0.03364352183249821,1
size_25,0.1,1,0.5914466924818791,0.0,18.966281243184312,0.05698397557453373,11256,0.6644456289978679,0.01261549395877754,1
size_25,0.1,2,0.0741581269309247,7.886835312401482e-25,-46.60097451608385,0.04781540870197086,11115,0.6645074224021592,0.016824111560953665,1
size_25,0.1,3,-0.09002591392330053,7.566324302325113e-36,-57.490701603112484,0.04521220266928669,11115,0.6653171390013495,0.0015294646873594243,1
size_25,0.1,4,-0.04813393230011228,2.5051217404458738e-11,-31.06041827737505,0.05432018831972985,11029,0.6650648290869525,0.0065282437210989214,1
size_25,0.1,5,0.33637975256757724,0.0,-14.486934401918631,0.05326255430950479,11076,0.6784037558685446,0.035211267605633804,1
size_25,0.1,6,0.7137090961238035,0.0,44.49001601783618,0.06447575129530562,11207,0.6778798964932632,0.026858213616489695,1
size_25,0.1,7,0.5046403949657307,0.0,23.002569576742985,0.05894566398743779,11177,0.6432853180638812,0.0,1
size_25,0.1,8,0.2606538530128335,1.0807261044688998e-295,-25.157393024853718,0.05277862906148555,11254,0.6431491025413186,0.02159232272969611,1
size_25,0.1,9,0.5076992869315639,0.0,38.64318217884784,0.05288850710034949,11291,0.6522008679479231,0.026038437693738377,0
size_25,0.5,0,-0.11533706433274017,7.388801912946192e-58,-18.935511988361384,0.0505877033266045,11193,0.6635397123202001,0.008844813722862504,0
size_25,0.5,1,-0.06325823744241622,1.7314281515277065e-18,-17.03213338972273,0.053385190527364235,11201,0.6660119632175698,0.008749218819748238,0
size_25,0.5,2,-0.01487302435699801,0.03931768580166905,-25.07864999894457,0.05306257520679606,11176,0.6663385826771654,0.006710808876163207,0
size_25,0.5,3,-0.11334453133636141,6.320947095103897e-56,-2.968107385950134,0.05086406014473809,11187,0.6672923929561098,0.0070617681237150265,0
size_25,0.5,4,-0.029547646242368133,4.224064208437561e-05,-22.61836664975499,0.049650997665101435,11173,0.6684865300277455,0.00832363734001611,0
size_25,0.5,5,-0.1298819850005781,5.257589096420903e-73,-10.099013523306212,0.05072484421650237,11155,0.6689376961004034,0.009950694755714926,0
size_25,0.5,6,-0.09364399788496963,1.1697821838245517e-38,-20.244255975809892,0.05224611018954791,11204,0.6696715458764727,0.0129418064976794,0
size_25,0.5,7,0.008771991273652066,0.22420327082749467,-38.61004894469107,0.048051960332361594,11218,0.6603672668924943,0.006863968621857728,0
size_25,0.5,8,-0.023321717418049743,0.0012302126602103637,-22.311630950305528,0.047416708077277124,11211,0.663990723396664,0.010703773080010704,0
size_25,0.5,9,-0.15485860561511688,2.391152177083925e-103,-18.87864515216154,0.049371230585473755,11210,0.6684210526315789,0.01088314005352364,0
size_25,1.0,0,-0.10427527249462132,1.4560758708246709e-47,-30.804358039679414,0.05075662772727746,11194,0.6660711095229588,0.00982669287118099,0
size_25,1.0,1,-0.24837960101580767,8.065509406818049e-268,-29.467190015001563,0.05026630979562639,11209,0.6663395485770363,0.009902756713355339,0
size_25,1.0,2,-0.04067000343309301,1.726705295352709e-08,-29.237546308275626,0.05064866463750831,11195,0.6678874497543547,0.008485931219294328,0
size_25,1.0,3,-0.15308448398767635,5.205074022442374e-101,-30.167622082256116,0.050393738089491706,11203,0.6666071587967509,0.008747656877622065,0
size_25,1.0,4,-0.03822704636272431,1.1676646062579046e-07,-32.91713642677951,0.048351598094053976,11185,0.6673223066607064,0.009119356280733125,0
size_25,1.0,5,-0.11290678920415195,1.6621784568821268e-55,-43.28699443948909,0.047903916044317346,11184,0.6672925608011445,0.009656652360515022,0
